Feature,Correlation
price,1.0
Property Size,0.6219538628983978
Bathroom,0.5799262952007029
Parking Lot,0.3943149745252529
Bedroom,0.35781940889009517
Completion Year,0.21634625045779424
# of Floors,0.04814986139757131
Total Units,-0.11175068282009573
