Feature,Count,Missing,Missing_Pct,Mean,Median,Mode,Std_Dev,Variance,Min,Q1,Q3,Max,Range,IQR,Skewness,Skewness_Interpretation,Kurtosis,Kurtosis_Interpretation,Outliers_Count,Outliers_Pct,CV_Coefficient_of_Variation
Property Size,1979,0,0.0,1068.4906518443659,987.0,850.0,541.83653851293,293586.8344676739,9.0,815.5,1206.5,14500.0,14491.0,391.0,9.874745172602607,Highly right-skewed,202.33115839732181,Leptokurtic (heavy tails),79,3.9919151086407276,50.710461301429596
Bedroom,1979,0,0.0,2.9636179888832745,3.0,3.0,0.7283721809442659,0.5305260339735065,1.0,3.0,3.0,10.0,9.0,0.0,0.6451705621664294,Moderately right-skewed,11.566269657041403,Leptokurtic (heavy tails),535,27.033855482566953,24.577127810549058
Bathroom,1979,0,0.0,2.108135421930268,2.0,2.0,0.5944038910506212,0.3533159856961187,1.0,2.0,2.0,7.0,6.0,0.0,2.247753657723201,Highly right-skewed,11.153250643307246,Leptokurtic (heavy tails),410,20.71753410813542,28.195716691974575
Completion Year,1979,0,0.0,2011.3835270338554,2014.0,2017.0,8.001576657744348,64.02522900975922,1985.0,2006.0,2017.0,2026.0,41.0,11.0,-0.752925305710898,Moderately left-skewed,-0.22626899262912348,Platykurtic (light tails),12,0.6063668519454269,0.397814566451387
# of Floors,1979,0,0.0,24.754926730672057,22.0,22.0,26.41850451714354,697.9373809223335,2.0,18.0,29.0,504.0,502.0,11.0,14.390833301643191,Highly right-skewed,240.814297853878,Leptokurtic (heavy tails),43,2.1728145528044465,106.7201886904002
Total Units,1979,0,0.0,622.0818595250126,480.0,480.0,515.1934211954303,265424.2612430521,1.0,352.0,731.5,4225.0,4224.0,379.5,3.0055605598903736,Highly right-skewed,13.487859113561054,Leptokurtic (heavy tails),155,7.832238504295098,82.81762493264208
Parking Lot,1979,0,0.0,1.678120262758969,2.0,2.0,0.611634174723187,0.37409636368931404,1.0,1.0,2.0,6.0,5.0,1.0,0.9146377777192558,Moderately right-skewed,3.3444809846882233,Leptokurtic (heavy tails),24,1.2127337038908539,36.44757698817185
