Feature,Mean,Median,Std Dev,Min,Max,Skewness,Kurtosis
Property Size,1068.4906518443659,987.0,541.83653851293,9.0,14500.0,9.874745172602607,202.33115839732181
Bedroom,2.9636179888832745,3.0,0.7283721809442659,1.0,10.0,0.6451705621664294,11.566269657041403
Bathroom,2.108135421930268,2.0,0.5944038910506212,1.0,7.0,2.247753657723201,11.153250643307246
Completion Year,2011.3835270338554,2014.0,8.001576657744348,1985.0,2026.0,-0.752925305710898,-0.22626899262912348
# of Floors,24.754926730672057,22.0,26.41850451714354,2.0,504.0,14.390833301643191,240.814297853878
Total Units,622.0818595250126,480.0,515.1934211954303,1.0,4225.0,3.0055605598903736,13.487859113561054
Parking Lot,1.678120262758969,2.0,0.611634174723187,1.0,6.0,0.9146377777192558,3.3444809846882233
